timestamp,NIR_proxy_broad
0.0154,73.09
0.0479,73.13
0.0811,73.21
0.1173,73.32
0.1543,73.31
0.1811,73.22
0.2154,73.07
0.2476,73.04
0.2820,73.15
0.3151,73.20
0.3505,73.05
0.3808,72.30
0.4145,72.17
0.4477,71.90
0.4821,71.83
0.5177,71.99
0.5514,72.03
0.5905,72.36
0.6221,72.90
0.6601,72.95
0.6902,72.79
0.7280,72.54
0.7613,72.17
0.7935,72.65
0.8273,74.22
0.8513,75.97
0.8886,76.95
0.9273,76.67
0.9631,77.09
0.9922,73.35
1.0274,68.90
1.0638,65.47
1.0908,66.30
1.1240,68.63
1.1647,69.94
1.1934,70.21
1.2373,70.22
1.2699,69.37
1.3415,68.02
1.3765,68.27
1.4392,68.13
1.4715,68.01
1.5009,68.07
1.5700,68.53
1.6676,69.75
1.7107,71.89
1.7672,72.01
1.8341,64.64
1.8837,55.22
1.9164,51.16
1.9611,48.37
1.9923,47.81
2.0267,48.80
2.0583,51.68
2.0899,55.19
2.1254,58.64
2.1671,60.30
2.1910,61.09
2.2310,61.83
2.2710,62.11
2.3068,61.57
2.3404,61.13
2.3752,62.09
2.4411,65.42
2.4737,66.84
2.5051,67.80
2.5368,69.18
2.5699,69.85
2.6404,73.31
2.6745,76.12
2.7038,79.27
2.7356,81.68
2.7703,81.69
2.8399,86.28
2.8742,86.67
2.9069,92.78
2.9416,101.46
2.9769,107.57
3.0447,116.66
3.0757,115.23
3.1069,112.31
3.1402,108.88
3.1771,104.43
3.2411,73.22
3.2763,57.28
3.3434,20.10
3.3759,11.51
3.4413,12.01
3.4934,23.08
3.5311,31.69
3.5640,38.05
3.6285,46.14
3.6602,47.28
3.6910,48.39
3.7207,53.13
3.7532,57.05
3.8271,58.97
3.8632,59.65
3.8899,59.91
3.9580,59.51
4.0279,59.72
4.0605,60.18
4.0940,61.02
4.1567,63.36
4.2273,65.22
4.2609,65.82
4.2918,66.50
4.3219,67.14
4.3579,67.65
4.4259,67.52
4.4624,67.11
4.4912,66.48
4.5245,66.26
4.5582,65.90
4.6276,65.23
4.6621,64.89
4.6959,64.40
4.7365,63.91
4.7889,63.02
4.8245,62.68
4.8611,62.46
4.8923,62.27
4.9229,61.89
4.9553,61.28
5.0209,60.44
5.0585,60.39
5.0910,60.49
5.1578,60.58
5.2286,60.25
5.2633,59.94
5.2923,59.54
5.3583,58.42
5.4288,57.49
5.4550,56.94
5.5168,55.72
5.5493,55.11
5.5797,54.66
5.6171,54.42
5.6539,54.19
5.6839,54.06
5.7169,53.99
5.7542,53.85
5.7822,53.79
5.8275,53.77
5.8540,53.78
5.9107,54.11
5.9514,54.41
5.9817,54.50
6.0175,54.38
6.0551,53.94
6.0901,53.32
6.1562,52.60
6.2120,54.16
6.2602,55.53
6.2964,56.24
6.3567,56.48
6.3878,56.54
6.4226,56.63
6.4605,56.82
6.4962,56.92
6.5602,57.07
6.6264,57.08
6.6634,56.86
6.6938,56.54
6.7602,55.47
6.8276,54.41
6.8644,54.34
6.8966,54.21
6.9590,54.14
7.0300,54.16
7.0621,54.25
7.0968,54.31
7.1514,54.43
7.1810,54.49
7.2142,54.60
7.2534,54.63
7.2940,54.67
7.3256,54.72
7.3596,54.71
7.4265,54.79
7.4649,54.94
7.4927,55.17
7.5663,55.48
7.6306,55.56
7.6635,55.47
7.6975,55.39
7.7289,55.30
7.7627,55.29
7.8296,55.55
7.8642,55.72
7.8976,55.97
7.9311,56.36
7.9629,56.89
8.0276,57.83
8.0621,58.10
8.0971,57.96
8.1295,57.89
8.1635,57.81
8.2294,57.93
8.2652,57.80
8.2968,57.64
8.3279,57.37
8.3629,57.04
8.4300,56.50
8.4658,56.28
8.4982,56.09
8.5279,55.87
8.5602,55.69
8.6218,55.36
8.6556,55.17
8.6902,54.94
8.7190,54.73
8.7555,54.56
8.8250,54.35
8.8577,54.33
8.8957,54.32
8.9260,54.29
8.9617,54.31
9.0299,54.21
9.0626,54.14
9.0980,54.08
9.1595,53.98
9.2302,53.82
9.2663,53.76
9.2991,53.62
9.3301,53.33
9.3830,52.32
9.4278,52.06
9.4666,51.86
9.4998,51.59
9.5279,51.39
9.5625,51.31
9.6313,51.37
9.6649,51.39
9.6983,51.50
9.7312,51.59
9.7622,51.74
9.8285,51.99
9.8660,52.04
9.8973,52.12
9.9276,52.23
9.9612,52.30
10.0276,52.43
10.0635,52.45
10.0987,52.46
10.1267,52.42
10.1587,52.43
10.2245,52.28
10.2558,52.24
10.2932,52.17
10.3271,52.15
10.3584,52.15
10.3861,52.14
10.4254,52.16
10.4585,52.18
10.4947,52.25
10.5314,52.31
10.5618,52.39
10.6280,52.51
10.6633,52.55
10.6969,52.58
10.7301,52.58
10.7626,52.60
10.8281,52.65
10.8561,52.62
10.9158,52.49
10.9540,52.49
10.9824,52.46
11.0197,52.51
11.0593,52.47
11.0978,52.50
11.1298,52.46
11.1587,52.47
11.1838,52.47
11.2235,52.48
11.2558,52.44
11.2933,52.46
11.3286,52.44
11.3583,52.42
11.3865,52.39
11.4243,52.37
11.4623,52.36
11.4947,52.34
11.5251,52.32
11.5584,52.32
11.5877,52.33
11.6236,52.28
11.6612,52.26
11.6991,52.21
11.7272,52.23
11.7590,52.22
11.8229,52.23
11.8617,52.19
11.8994,52.21
11.9336,52.25
11.9894,52.25
12.0287,52.20
12.0657,52.18
12.0989,52.18
12.1326,52.17
12.1616,52.13
12.2283,52.09
12.2648,52.07
12.3003,52.07
12.3318,52.05
12.3615,52.08
12.4283,52.07
12.4663,52.07
12.4997,52.07
12.5321,52.08
12.5631,52.07
12.6277,52.07
12.6652,52.06
12.6986,51.98
12.7314,51.99
12.7656,52.00
12.8291,51.93
12.8673,51.90
12.9012,51.88
12.9312,51.90
12.9627,51.92
13.0282,51.95
13.0668,51.94
13.0996,51.92
13.1319,51.92
13.1650,51.95
13.2316,51.99
13.2683,51.96
13.3012,51.95
13.3632,51.93
13.4302,51.88
13.4667,51.90
13.4990,51.90
13.5340,51.87
13.5634,51.85
13.6318,51.86
13.6663,51.85
13.7001,51.82
13.7322,51.81
13.7670,51.81
13.8326,51.78
13.8672,51.73
13.9010,51.76
13.9344,51.79
13.9645,51.77
14.0301,51.73
14.0670,51.74
14.0998,51.73
14.1349,51.66
14.1664,51.64
14.2310,51.60
14.2667,51.56
14.3005,51.53
14.3365,51.52
14.3672,51.50
14.4327,51.48
14.4683,51.46
14.4989,51.44
14.5346,51.45
14.5669,51.46
14.6360,51.48
14.7012,51.46
14.7332,51.45
14.7646,51.43
14.8138,51.35
14.8451,51.34
14.8879,51.29
14.9226,51.28
14.9643,51.21
15.0267,51.15
15.0665,51.16
15.1006,51.19
15.1325,51.17
15.1682,51.15
15.2325,51.12
15.2657,51.08
15.3010,51.06
15.3353,51.01
15.3671,50.95
15.4262,50.95
15.4651,50.94
15.5018,50.90
15.5372,50.93
15.5693,50.93
15.6340,50.93
15.6665,50.89
15.7005,50.86
15.7357,50.81
15.7671,50.77
15.8316,50.76
15.8584,50.71
15.9209,50.69
15.9546,50.70
15.9845,50.69
16.0217,50.68
16.0614,50.66
16.0972,50.68
16.1361,50.69
16.1672,50.67
16.2248,50.67
16.2604,50.65
16.2942,50.67
16.3333,50.63
16.3650,50.58
16.4305,50.56
16.4684,50.53
16.5032,50.47
16.5365,50.44
16.5672,50.41
16.6340,50.34
16.6691,50.31
16.6975,50.26
16.7299,50.22
16.7613,50.24
16.7876,50.25
16.8288,50.23
16.8658,50.22
16.9019,50.17
16.9348,50.22
16.9685,50.22
17.0301,50.25
17.0662,50.22
17.1025,50.21
17.1362,50.23
17.1680,50.16
17.2303,50.13
17.2681,50.13
17.3028,50.05
17.3363,49.99
17.3664,49.93
17.4294,49.91
17.4678,49.87
17.5030,49.87
17.5369,49.86
17.5670,49.90
17.6335,49.84
17.6690,49.86
17.7046,49.86
17.7370,49.87
17.7673,49.86
17.8325,49.82
17.8672,49.79
17.9016,49.78
17.9389,49.74
17.9904,49.65
18.0309,49.62
18.0678,49.60
18.1006,49.65
18.1364,49.62
18.1677,49.61
18.2328,49.47
18.2688,49.44
18.3047,49.40
18.3415,49.39
18.3712,49.35
18.4333,49.32
18.4705,49.29
18.5022,49.26
18.5380,49.29
18.5681,49.30
18.6320,49.32
18.6702,49.35
18.7009,49.36
18.7341,49.35
18.7677,49.35
18.8281,49.32
18.8646,49.34
18.8999,49.32
18.9349,49.33
18.9674,49.31
19.0274,49.37
19.0633,49.36
19.1019,49.37
19.1386,49.35
19.1693,49.35
19.2302,49.37
19.2678,49.35
19.3022,49.35
19.3353,49.34
19.3670,49.30
19.4287,49.31
19.4674,49.28
19.5033,49.25
19.5381,49.22
19.5703,49.19
19.6343,49.13
19.6688,49.14
19.7035,49.17
19.7375,49.19
19.7683,49.16
19.8349,49.17
19.8692,49.17
19.9033,49.19
19.9360,49.19
19.9694,49.21
20.0304,49.25
20.0628,49.27
20.1004,49.23
20.1378,49.23
20.1691,49.23
20.2357,49.20
20.3039,49.22
20.3344,49.25
20.3693,49.22
20.4339,49.25
20.4700,49.21
20.5034,49.18
20.5356,49.16
20.5697,49.16
20.6351,49.19
20.6687,49.20
20.7038,49.22
20.7399,49.23
20.7726,49.23
20.8346,49.24
20.8617,49.25
20.9235,49.28
20.9593,49.25
20.9849,49.26
21.0236,49.21
21.0599,49.26
21.1003,49.23
21.1304,49.28
21.1855,49.25
21.2141,49.25
21.2672,49.27
21.3047,49.26
21.3397,49.17
21.3721,49.04
21.4360,48.98
21.4681,49.05
21.5034,49.05
21.5365,48.97
21.5744,48.97
21.6552,48.93
21.7119,48.86
21.7508,48.86
21.7815,48.81
