series,timestamp_sec,count
1720nm,0.000,522
1720nm,0.012,503
1720nm,0.033,496
1720nm,0.033,488
1720nm,0.064,461
1720nm,0.098,457
1720nm,0.132,458
1720nm,0.167,459
1720nm,0.201,465
1720nm,0.234,468
1720nm,0.269,465
1720nm,0.338,471
1720nm,0.338,483
1720nm,0.406,492
1720nm,0.406,501
1720nm,0.471,504
1720nm,0.504,521
1720nm,0.541,530
1720nm,0.541,532
1720nm,0.575,538
1720nm,0.609,540
1720nm,0.643,541
1720nm,0.677,545
1720nm,0.745,542
1720nm,0.745,532
1720nm,0.779,509
1720nm,0.846,500
1720nm,0.879,491
1720nm,0.915,471
1720nm,0.915,461
1720nm,0.949,455
1720nm,1.018,451
1720nm,1.018,458
1720nm,1.084,463
1720nm,1.118,464
1720nm,1.150,469
1720nm,1.183,480
940nm,39.500,752
940nm,39.547,752
940nm,39.586,760
940nm,39.620,751
940nm,39.620,739
940nm,39.689,722
940nm,39.689,712
940nm,39.723,703
940nm,39.759,692
940nm,39.791,674
940nm,39.858,663
940nm,39.858,663
940nm,39.892,664
940nm,39.927,671
940nm,39.961,671
940nm,39.994,672
940nm,40.028,679
940nm,40.063,689
940nm,40.099,701
940nm,40.164,709
940nm,40.198,716
940nm,40.232,732
940nm,40.232,742
940nm,40.300,744
940nm,40.300,747
940nm,40.335,757
940nm,40.368,755
940nm,40.403,757
940nm,40.437,753
940nm,40.471,737
940nm,40.505,723
940nm,40.541,710
940nm,40.573,709
940nm,40.641,691
940nm,40.673,672
940nm,40.710,673
940nm,40.710,672
940nm,40.742,669
940nm,40.776,678
940nm,40.810,676
940nm,40.844,679
940nm,40.878,688
940nm,40.946,700
940nm,40.946,713
940nm,40.980,721
940nm,41.014,728
940nm,41.083,742
940nm,41.083,749
940nm,41.150,752
940nm,41.185,754
940nm,41.185,761
940nm,41.219,764
940nm,41.255,761
940nm,41.322,756
940nm,41.322,744
940nm,41.358,725
940nm,41.392,717
940nm,41.424,709
940nm,41.459,692
940nm,41.492,681
