elapsed_sec,R,G,B
0.235,24.72,2.22,0.12
0.469,23.27,2.45,0.4
0.7,21.14,2.21,0.48
0.9,19.96,2.02,0.3
1.113,19.49,1.99,0.22
1.345,19.74,1.96,0.2
1.56,20.74,2.18,0.22
1.781,57.72,7.7,5.03
1.983,197.73,46.5,51.21
2.209,253.53,10.61,47.86
2.437,250.84,11.52,41.1
2.667,188.1,0.13,26.15
2.895,55.16,2.33,3.86
3.12,166.34,17.22,39.38
3.359,249.88,0.36,46.66
3.574,248.37,0.27,46.51
3.794,234.98,0.24,38.85
3.996,225.97,0.17,35.83
4.225,227.82,0.2,36.91
4.438,228.42,0.22,36.54
4.671,224.61,0.2,35.33
4.895,220.2,0.16,34.17
5.109,224.09,0.25,35.24
5.333,222.91,0.22,34.92
5.533,218.1,0.21,33.5
5.775,209.48,0.18,31.44
5.975,209.54,0.19,31.14
6.196,210.5,0.19,31.35
6.397,211.61,0.22,31.66
6.597,211.0,0.21,31.4
6.799,209.41,0.19,30.97
7.039,207.0,0.19,30.13
7.272,205.66,0.18,29.81
7.472,205.05,0.17,29.66
7.674,204.42,0.18,29.42
7.908,204.57,0.17,29.46
8.108,204.56,0.18,29.37
8.333,204.49,0.19,29.36
8.575,203.96,0.2,29.19
8.775,203.28,0.2,28.92
8.975,201.66,0.16,28.67
9.199,206.08,0.19,29.8
9.4,208.18,0.21,30.32
9.639,210.16,0.21,30.84
9.866,210.24,0.2,30.79
10.074,209.31,0.21,30.45
10.309,208.48,0.21,30.11
10.533,207.68,0.2,29.94
10.736,206.8,0.21,29.57
10.968,206.08,0.19,29.26
11.177,205.51,0.18,29.16
11.399,203.64,0.2,28.55
11.6,204.13,0.19,28.74
11.842,204.46,0.19,28.77
12.074,205.33,0.18,29.0
12.274,209.29,0.16,29.85
12.475,207.56,0.19,29.2
12.71,205.56,0.16,28.74
12.91,204.78,0.16,28.66
13.11,204.68,0.18,28.68
13.334,204.08,0.19,28.51
13.536,202.1,0.15,28.18
13.737,200.99,0.14,27.9
13.978,202.05,0.16,28.16
14.2,203.93,0.19,28.62
14.401,205.06,0.2,28.9
14.641,205.77,0.2,29.01
14.869,206.21,0.21,29.08
15.077,206.41,0.21,28.99
15.311,206.22,0.2,28.94
15.534,205.02,0.19,28.8
15.737,204.88,0.2,28.74
15.943,204.72,0.19,28.69
16.179,204.36,0.2,28.59
16.401,205.06,0.18,28.63
16.605,203.83,0.2,28.29
16.842,203.11,0.2,28.16
17.076,203.18,0.22,28.2
17.277,203.2,0.22,28.22
17.511,205.45,0.19,28.68
17.711,207.28,0.25,29.06
17.913,207.86,0.23,29.47
18.138,209.12,0.21,29.63
18.382,211.04,0.23,30.09
18.582,212.47,0.25,30.38
18.804,214.7,0.19,31.19
19.005,218.65,0.18,32.33
19.238,221.6,0.18,32.79
19.445,222.77,0.18,33.0
19.677,223.99,0.17,33.31
19.907,224.94,0.17,33.47
20.114,224.69,0.17,33.43
20.314,224.48,0.17,33.45
20.539,224.84,0.15,33.56
20.741,224.38,0.18,33.3
20.982,224.81,0.16,33.44
21.183,225.41,0.16,33.54
21.407,224.85,0.16,33.43
21.646,224.16,0.15,33.25
21.854,224.71,0.15,33.32
22.062,224.6,0.14,33.34
22.269,224.24,0.15,33.17
22.472,224.09,0.16,33.14
22.678,223.45,0.14,32.87
22.915,223.23,0.14,33.1
23.115,222.04,0.16,32.71
23.316,221.74,0.17,32.78
23.546,222.76,0.17,33.03
23.783,223.53,0.19,33.27
23.999,223.88,0.22,33.3
24.227,223.73,0.25,33.29
24.449,224.59,0.25,33.63
24.679,225.38,0.22,33.67
24.905,225.91,0.24,33.76
25.116,226.33,0.23,33.88
25.317,226.65,0.22,33.94
25.518,227.33,0.22,34.04
25.741,227.31,0.2,34.08
25.948,227.22,0.19,34.07
26.184,227.46,0.19,33.95
26.409,227.06,0.18,33.89
26.649,226.52,0.17,33.76
26.882,226.37,0.18,33.81
27.082,226.24,0.17,33.72
27.316,225.94,0.2,33.69
27.517,216.28,0.52,32.09
27.718,211.49,0.43,31.67
27.918,225.78,0.41,34.39
28.143,230.13,0.38,35.33
28.35,231.02,0.4,35.33
28.585,231.21,0.39,35.43
28.809,231.38,0.4,35.5
29.05,231.72,0.41,35.56
29.273,231.58,0.4,35.72
29.478,231.8,0.38,35.88
29.682,232.02,0.37,35.88
29.913,232.39,0.41,35.89
30.119,232.36,0.46,35.69
30.342,232.38,0.46,35.67
30.544,232.26,0.44,35.73
30.785,232.32,0.46,35.7
30.987,232.19,0.48,35.65
31.208,232.39,0.47,35.88
31.45,231.94,0.48,35.6
31.684,231.74,0.47,35.47
31.92,231.71,0.44,35.62
32.12,231.75,0.45,35.67
32.346,231.11,0.48,35.47
32.547,231.58,0.45,35.58
32.786,232.54,0.48,36.14
32.988,233.15,0.47,36.39
33.216,232.67,0.48,35.9
33.45,232.17,0.47,35.79
