series,timestamp_sec,count
1720nm,0.000,612
1720nm,0.222,592
1720nm,0.414,651
1720nm,0.674,562
1720nm,0.891,661
1720nm,1.129,562
1720nm,1.349,651
1720nm,1.614,581
1720nm,1.786,623
1720nm,2.210,586
1720nm,2.430,672
1720nm,2.682,575
1720nm,3.136,566
1720nm,3.819,616
1720nm,4.009,638
1720nm,4.239,570
1720nm,4.489,671
1720nm,4.938,659
1720nm,5.127,574
1720nm,5.373,637
1720nm,5.839,601
1720nm,6.031,653
1720nm,6.268,558
1720nm,6.484,660
1720nm,7.422,609
1720nm,7.606,612
1720nm,7.806,575
1720nm,8.039,652
1720nm,8.500,653
1720nm,8.744,556
1720nm,9.150,589
1720nm,9.406,608
1720nm,9.640,626
1720nm,9.838,562
1720nm,10.520,649
1720nm,11.437,591
1720nm,11.640,650
1720nm,11.889,554
1720nm,12.103,656
1720nm,12.312,555
1720nm,12.537,644
1720nm,12.776,578
1720nm,12.987,613
1720nm,13.240,619
1720nm,13.655,667
1720nm,14.079,658
1720nm,14.343,567
1720nm,14.555,645
1720nm,14.989,608
1720nm,15.433,560
1720nm,15.693,657
1720nm,16.107,650
1720nm,16.554,627
1720nm,16.801,615
1720nm,17.019,593
1720nm,17.244,662
1720nm,17.680,664
1720nm,17.926,561
1720nm,18.139,653
1720nm,18.361,594
1720nm,18.590,613
1720nm,18.792,626
1720nm,19.007,572
1720nm,19.463,561
1720nm,19.704,656
1720nm,19.912,567
1720nm,20.354,608
1720nm,20.603,604
1720nm,21.061,568
1720nm,21.510,560
1720nm,22.170,615
1720nm,22.408,627
1720nm,22.604,582
1720nm,22.820,667
1720nm,23.070,568
1720nm,23.308,656
1720nm,23.519,563
1720nm,23.936,610
1720nm,24.635,567
1720nm,24.831,660
1720nm,25.056,559
1720nm,25.335,648
1720nm,25.523,578
1720nm,26.176,582
1720nm,26.637,575
1720nm,26.853,651
1720nm,27.071,560
1720nm,27.335,641
1720nm,27.528,608
1720nm,27.769,606
1720nm,27.979,647
1720nm,28.195,566
1720nm,28.415,661
1720nm,28.640,557
1720nm,28.863,650
1720nm,29.335,614
1720nm,29.802,581
1720nm,30.021,662
1720nm,30.245,576
1720nm,30.432,653
1720nm,30.880,637
1720nm,31.119,604
1720nm,31.359,603
1720nm,31.592,645
1720nm,31.774,562
1720nm,32.032,658
1720nm,32.254,557
940nm,36.095,729
940nm,36.793,804
940nm,37.039,697
940nm,37.423,727
940nm,37.648,753
940nm,38.343,808
940nm,38.575,705
940nm,38.793,795
940nm,39.004,710
940nm,39.216,772
940nm,39.454,746
940nm,40.134,707
940nm,40.336,794
940nm,40.585,697
940nm,40.809,786
940nm,41.703,717
940nm,41.905,802
940nm,42.154,713
940nm,42.837,770
940nm,43.472,781
940nm,43.696,704
940nm,44.402,781
940nm,44.860,755
940nm,45.289,721
940nm,45.527,800
940nm,45.738,712
940nm,46.192,704
940nm,46.644,741
940nm,47.071,771
940nm,47.304,708
940nm,47.560,796
940nm,48.202,704
940nm,48.437,767
940nm,48.629,748
940nm,49.102,786
940nm,49.295,706
940nm,49.551,793
940nm,49.775,700
940nm,50.219,713
940nm,50.887,720
940nm,51.335,708
940nm,51.558,794
940nm,51.790,697
940nm,52.222,726
940nm,52.693,763
940nm,53.552,793
940nm,53.776,704
940nm,54.002,785
940nm,54.242,741
940nm,54.467,742
940nm,54.693,769
940nm,55.361,702
940nm,55.602,793
940nm,56.015,768
940nm,56.701,786
940nm,57.422,699
940nm,57.612,789
940nm,57.823,708
940nm,58.069,762
940nm,58.262,748
940nm,58.736,790
940nm,59.191,798
940nm,59.422,697
940nm,59.608,787
940nm,59.851,712
940nm,60.072,759
940nm,60.309,755
940nm,61.425,699
940nm,61.641,789
940nm,61.888,714
940nm,62.102,752
940nm,62.309,755
940nm,62.745,800
